p Value,Horners Method Evaluation,p Value,Preprocessed Coefficients Method Evaluation
-20.0,-1.022764437E9,-20.0,-1.022764437E9
-19.8,-9.508382467734915E8,-19.8,-9.508382467734916E8
-19.6,-8.832861577858181E8,-19.6,-8.832861577858183E8
-19.4,-8.198844901252221E8,-19.4,-8.19884490125222E8
-19.2,-7.604187991874686E8,-19.2,-7.604187991874686E8
-19.0,-7.04683587E8,-19.0,-7.04683587E8
-18.8,-6.524820196194434E8,-18.8,-6.524820196194435E8
-18.6,-6.03625650537946E8,-18.6,-6.03625650537946E8
-18.4,-5.579341500338302E8,-18.4,-5.5793415003383E8
-18.2,-5.1523504040206075E8,-18.2,-5.152350404020606E8
-18.0,-4.75363437E8,-18.0,-4.75363437E8
-17.8,-4.3816179504395527E8,-17.8,-4.381617950439553E8
-17.6,-4.0347966209199375E8,-17.6,-4.03479662091994E8
-17.4,-3.711734361485182E8,-17.4,-3.7117343614851815E8
-17.2,-3.411061293260928E8,-17.2,-3.411061293260927E8
-17.0,-3.13147137E8,-17.0,-3.13147137E8
-16.8,-2.8717201239102733E8,-16.8,-2.871720123910273E8
-16.6,-2.6306224651196182E8,-16.6,-2.6306224651196173E8
-16.4,-2.4070505341328624E8,-16.4,-2.407050534132863E8
-16.2,-2.199931606635647E8,-16.2,-2.199931606635647E8
-16.0,-2.00824605E8,-16.0,-2.00824605E8
-15.8,-1.8310253308465928E8,-15.8,-1.8310253308465925E8
-15.6,-1.6673500730184954E8,-15.6,-1.6673500730184957E8
-15.4,-1.5163481653213444E8,-15.4,-1.5163481653213444E8
-15.2,-1.3771929183847672E8,-15.2,-1.3771929183847678E8
-15.0,-1.24910127E8,-15.0,-1.24910127E8
-14.8,-1.1313320382885124E8,-14.8,-1.1313320382885124E8
-14.6,-1.0231842220565756E8,-14.6,-1.0231842220565757E8
-14.4,-9.239953476906243E7,-14.4,-9.239953476906243E7
-14.2,-8.331398619482876E7,-14.2,-8.331398619482876E7
-14.0,-7.5002757E7,-14.0,-7.5002757E7
-13.8,-6.741021180760323E7,-13.8,-6.741021180760323E7
-13.6,-6.048395200738559E7,-13.6,-6.0483952007385574E7
-13.4,-5.417467274807041E7,-13.4,-5.417467274807042E7
-13.2,-4.843602419662078E7,-13.2,-4.843602419662079E7
-13.0,-4.3224477E7,-13.0,-4.3224477E7
-12.8,-3.8499191884915225E7,-12.8,-3.849919188491522E7
-12.6,-3.4221893331033595E7,-12.6,-3.422189333103359E7
-12.4,-3.0356747253158405E7,-12.4,-3.0356747253158417E7
-12.2,-2.6870242627852794E7,-12.2,-2.687024262785279E7
-12.0,-2.3731077E7,-12.0,-2.3731077E7
-11.8,-2.0910045804787207E7,-11.8,-2.0910045804787204E7
-11.6,-1.8379935440601595E7,-11.6,-1.83799354406016E7
-11.4,-1.6115420028326403E7,-11.4,-1.6115420028326401E7
-11.2,-1.4092961792524794E7,-11.2,-1.4092961792524794E7
-11.0,-1.2290715E7,-11.0,-1.2290715E7
-10.8,-1.0688433391219206E7,-10.8,-1.0688433391219206E7
-10.6,-9267381.040089598,-10.6,-9267381.0400896
-10.4,-8010246.577574401,-10.4,-8010246.577574403
-10.2,-6901060.714636796,-10.2,-6901060.714636798
-10.0,-5925117.0,-10.0,-5925117.0
-9.8,-5068895.748211202,-9.8,-5068895.748211203
-9.6,-4319991.0734976,-9.6,-4319991.0734976
-9.4,-3667040.9649024014,-9.4,-3667040.9649024014
-9.2,-3099660.338188798,-9.2,-3099660.338188798
-9.0,-2608377.0,-9.0,-2608377.0
-8.8,-2184570.4597632014,-8.8,-2184570.4597632014
-8.6,-1820413.5248255997,-8.6,-1820413.5248255997
-8.4,-1508816.6143104006,-8.4,-1508816.6143104003
-8.2,-1243374.7271807992,-8.2,-1243374.7271807992
-8.0,-1018317.0,-8.0,-1018317.0
-7.8,-828458.7898751999,-7.8,-828458.7898751998
-7.6,-669156.2180735997,-7.6,-669156.2180735997
-7.4,-536263.1097984001,-7.4,-536263.1097984002
-7.2,-426090.2656128001,-7.2,-426090.2656128001
-7.0,-335367.0,-7.0,-335367.0
-6.8,-261204.88254719996,-6.8,-261204.8825471999
-6.6,-201063.61724159992,-6.6,-201063.61724159992
-6.4,-152718.99536640008,-6.4,-152718.9953664001
-6.2,-114232.85748480003,-6.2,-114232.85748480007
-6.0,-83925.0,-6.0,-83925.0
-5.8,-60346.961779199984,-5.8,-60346.96177919999
-5.6,-42257.626329599974,-5.6,-42257.62632959997
-5.4,-28600.575014400016,-5.4,-28600.57501440002
-5.2,-18483.126796800007,-5.2,-18483.12679680001
-5.0,-11157.0,-5.0,-11157.0
-4.8,-6000.5315711999965,-4.8,-6000.5315711999965
-4.6,-2502.3893375999946,-4.6,-2502.389337599995
-4.4,-246.7127424000033,-4.4,-246.71274240000292
-4.2,1100.3824511999994,-4.2,1100.3824511999992
-4.0,1803.0,-4.0,1803.0
-3.8,2066.4240767999995,-3.8,2066.4240768
-3.6,2046.9097344,-3.6,2046.9097344000004
-3.4,1860.3674495999999,-3.4,1860.3674495999996
-3.2,1590.0062592000004,-3.2,1590.0062592000006
-3.0,1293.0,-3.0,1293.0
-2.8,1006.2411647999999,-2.8,1006.2411647999996
-2.6,751.2468864,-2.6,751.2468864000002
-2.4,538.2815616,-2.4,538.2815615999999
-2.2,369.76062720000016,-2.2,369.7606272000003
-2.0,243.0,-2.0,243.0
-1.8,152.3756928,-1.8,152.37569280000002
-1.6,90.95811840000003,-1.6,90.95811840000006
